,Time
1,52.96739983558655
2,42.846402645111084
3,45.02859401702881
4,43.355106353759766
5,52.89919686317444
6,41.16395616531372
7,40.354098320007324
8,39.84941601753235
9,39.639042377471924
10,39.985665798187256
11,39.131370306015015
12,40.127705097198486
13,39.43056511878967
14,41.418203353881836
15,41.51598930358887
16,39.255032777786255
17,39.80260133743286
18,41.48903250694275
19,39.24605846405029
20,39.82052445411682
21,39.272014141082764
22,40.3909707069397
23,40.910609006881714
24,39.80156993865967
25,39.50041127204895
26,39.15629506111145
27,40.0668363571167
28,40.96748614311218
29,38.9338641166687
30,39.766666650772095
31,39.399648666381836
32,39.893327713012695
33,42.136330127716064
34,38.827176332473755
35,39.59612488746643
36,39.34279918670654
37,40.85989236831665
38,40.51769018173218
39,38.71145439147949
40,39.575180768966675
41,39.46547198295593
42,39.01371145248413
43,41.46010708808899
44,38.77731204032898
45,40.03395199775696
46,39.565205574035645
47,39.98508262634277
48,42.31784462928772
49,37.032976388931274
50,38.470134258270264
